,name,country,age,hand,BuenosAires(2019/03),Cali(2019/05),Paris(2019/05),Tokyo(2019/06),Dusseldorf(2019/06),Bamako(2019/06),Toronto(2019/06),Budapest(2019/07),SA_A,SA_B,SA_C,SA_D,SA_E,SA_F,SA_G,SA_H,SA_I,Berne(2019/11),Heidenheim(2020/01),Doha(2020/01),Vancouver(2020/02),Budapest(2020/03),total,before_Heidenheim WA,before_Vancouver WA,before_Budapest GP,in_match
174,WRIGHT John,CAN,0.0,,1.0,0.0,0.25,0.0,0.0,0.0,3.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,7.25,7.0,7.25,7.25,False
175,OJEDA BUITRAGO Daniel,CRC,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,False
176,PIZZO Paolo,ITA,0.0,,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,False
177,GRUNHAUSER Richard,BRA,0.0,,0.25,0.75,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,False
178,NOVOSJOLOV Nikolai,EST,0.0,,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,False
179,KUHN Georg,SUI,27.0,R,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.5,1.0,0.0,7.0,2.5,6.0,7.0,True
180,FARDZINOV Alan,RUS,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,1.0,3.0,6.75,2.25,2.75,3.75,False
181,ESKOV Ruslan,EST,0.0,,0.0,0.0,0.5,0.0,3.0,0.0,0.0,1.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.375,6.625,6.0,6.25,6.25,False
182,BUHDEIMA Khaled,LBA,0.0,,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.625,6.625,6.625,6.625,False
183,FRENCH Dylan,CAN,23.0,R,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.25,0.0,6.5,4.25,6.25,6.5,True
184,DABIJA Adrian,ROU,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0,0.75,0.0,0.75,6.375,3.875,5.625,5.625,False
185,BIABIANY Mathias,FRA,25.0,L,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.375,0.5,0.0,6.375,1.5,5.875,6.375,True
186,PETROV Roman,KGZ,0.0,,0.0,0.0,0.25,3.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.375,6.375,5.75,6.0,6.0,False
187,ALEKSANDROV Roman,UZB,0.0,,0.0,0.0,0.25,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,6.25,6.25,6.25,False
188,LOPEZ POURTIER Nelson,FRA,0.0,,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.25,0.25,0.25,0.25,False
189,DORIGO Clement,FRA,0.0,,0.5,1.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,6.25,6.25,6.25,6.25,False
190,GROVER Elliott,GBR,0.0,,4.0,0.0,0.25,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.375,6.125,5.75,5.75,5.75,False
191,SYCH Yan,UKR,24.0,R,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.375,2.0,0.75,6.125,2.0,3.375,5.375,True
192,ADAIKIN Dmitriy,KAZ,0.0,,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.75,0.0,0.0,6.0,5.25,6.0,6.0,False
193,ABUJTELA Abdussalam,LBA,0.0,,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,False
194,RAMI Aissam,MAR,0.0,,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,False
195,ESMAEILI Mohammad,IRI,0.0,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,False
196,QUIROS Jose,PAN,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,False
197,LEE Simon Renjie,SGP,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,1.5,5.875,3.625,4.375,4.375,False
198,YU Lefan,CHN,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.25,0.75,0.5,0.375,5.875,4.0,5.0,5.5,False
199,SERTAY Yerlik,KAZ,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.75,5.75,2.0,5.0,5.0,False
200,ROD Max,POR,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.375,0.25,0.375,5.75,4.5,5.125,5.375,False
201,SANCHEZ-LETHEM Paul Ja...,GBR,0.0,,0.25,0.75,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.5,0.0,5.75,5.0,5.25,5.75,False
202,GAVALDA Eugeni,ESP,0.0,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,4.0,0.375,5.625,1.0,1.25,5.25,False
203,NUOTIO Tatu,FIN,0.0,,0.0,0.0,0.25,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,5.5,5.25,5.5,5.5,False
204,KOMATA Akira,JPN,0.0,,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.5,2.0,0.75,5.5,1.25,2.75,4.75,False
205,TAURIAINEN Topias,FIN,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.625,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.375,5.25,4.875,4.875,4.875,False
206,SZILAGYI Adrian Ciprian,ROU,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.375,5.25,4.625,4.875,4.875,False
207,PAAVOLAINEN Jaakko,FIN,0.0,,0.0,0.0,0.25,0.0,3.0,0.0,0.0,0.625,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,5.125,5.125,5.125,5.125,False
208,ALDAWOOD Jawad,KSA,0.0,,0.0,0.0,0.25,3.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,5.0,4.75,5.0,5.0,False
209,FOUGY Nathan,FRA,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,5.0,4.5,5.0,5.0,False
210,BOUILLOT Hippolyte,FRA,0.0,,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,False
211,SCHUMACHER Cooper,USA,0.0,,2.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,1.5,0.0,0.0,5.0,3.0,5.0,5.0,False
212,KNYSH Oleg,RUS,22.0,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.5,0.375,4.875,2.0,4.0,4.5,True
213,UNTERHAUSER Samuel,GER,23.0,L,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.375,2.0,1.5,4.875,0.5,1.375,3.375,True
214,PITTET Alexandre,SUI,0.0,,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.375,4.875,4.0,4.25,4.5,False
215,CANDEIAS Ricardo,POR,0.0,,0.0,0.0,0.25,0.0,1.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,4.75,4.75,4.75,4.75,False
216,HATZ Nick,SUI,0.0,,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.5,3.0,4.75,0.75,1.25,1.75,False
217,MAKAROVAS Tomas,LTU,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,4.625,4.25,4.25,4.25,False
218,NOLLNER Dylan,USA,0.0,,1.0,0.75,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.375,0.0,0.0,4.625,4.25,4.625,4.625,False
219,KNUDSEN Kenneth,DEN,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.25,1.0,0.0,0.5,0.75,4.5,2.25,3.25,3.75,False
220,BRINKMANN Marco,GER,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.75,4.5,2.0,3.75,3.75,False
221,FEROT Francois Xavier,BEL,0.0,,0.5,0.0,0.25,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.25,0.0,0.0,0.0,4.5,4.25,4.5,4.5,False
222,RADFORD Kristian,AUS,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,4.5,4.25,4.5,4.5,False
223,BRZOZOWSKI Seweryn,POL,27.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.5,4.5,1.0,3.0,3.0,True
224,ROA Hernando,COL,0.0,,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.5,4.375,2.375,2.875,2.875,False
225,BRAUN Rico,GER,0.0,,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.5,0.75,4.25,3.0,3.0,3.5,False
226,PHILIPPE Arthur,FRA,0.0,,0.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.0,4.25,2.5,3.25,4.25,False
227,THOMPSON Soren,USA,39.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.75,1.0,0.375,4.125,0.0,2.75,3.75,True
228,HUSSON Geoffroy,BEL,0.0,,0.0,0.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.375,4.125,3.5,3.75,3.75,False
229,TAN Weixuan,SGP,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,False
230,KIM Myeongki,KOR,0.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,False
231,HAYES Isaac,AUS,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,3.875,3.625,3.875,3.875,False
232,BRATTON Benjamin,USA,0.0,,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,1.0,0.375,3.875,1.75,2.5,3.5,False
233,ISLAS FLYGARE Linus,SWE,0.0,,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,3.75,3.25,3.75,3.75,False
234,CHALOEMCHANEN Chinn...,THA,0.0,,0.0,0.0,0.25,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,3.75,3.5,3.75,3.75,False
235,BAUDUNOV Khasan,UZB,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.375,3.625,3.0,3.25,3.25,False
236,ALFOUDARI Hassan,KUW,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.625,3.625,3.625,3.625,False
237,VORONIN Vyacheslav,TKM,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.625,3.625,3.625,3.625,False
238,DAGANI Elia,SUI,0.0,,0.25,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.5,0.0,0.0,3.5,1.75,3.5,3.5,False
239,GUSMAN Agustin Adolfo,ARG,0.0,,0.25,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,False
240,CROOK Lachlan,AUS,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,3.5,3.0,3.5,3.5,False
241,POSTMA Randy,NED,0.0,,0.25,0.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,3.5,3.5,False
242,DILIBERTO Luca,ITA,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.5,3.5,2.0,2.0,2.0,False
243,MURAKAMI Satoki,JPN,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,1.5,0.25,0.0,3.5,1.25,3.25,3.5,False
244,GALPER Stanislav,ISR,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.5,0.75,3.5,2.0,2.25,2.75,False
245,ALIYEV Kanan,AZE,0.0,,0.0,0.0,0.25,0.0,1.5,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.375,0.0,0.375,3.375,2.375,3.0,3.0,False
246,JOHNSTON LEYER Bradley,CRC,0.0,,0.25,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,3.25,3.25,3.25,False
247,KAVVADIAS Savvas,GRE,0.0,,0.0,0.0,0.5,0.0,1.5,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.375,3.25,2.875,2.875,2.875,False
248,CUPR Michal,CZE,0.0,,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,3.25,1.75,1.75,1.75,False
249,TARANENKO Yuriy,UKR,0.0,,0.25,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.375,3.125,2.75,2.75,2.75,False
250,YOO Justin,USA,0.0,,2.0,0.375,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,3.125,2.875,3.125,3.125,False
251,KWON Jaeseon,KOR,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,1.5,0.5,0.375,3.125,0.5,2.25,2.75,False
252,BIELEC Maciej,POL,0.0,,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.375,0.0,0.375,3.0,2.25,2.625,2.625,False
253,CHAKAROV Ilia,BUL,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.375,3.0,1.625,2.625,2.625,False
254,GROSSE Arthur,NOR,0.0,,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,False
255,WENGLARCZYK Jan,POL,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,3.0,3.0,False
256,PAULOUSKI Dzianis,BLR,24.0,L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,3.0,3.0,True
257,AL DAWOOD Zakaria,KSA,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,False
258,ABED Faisal,KSA,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,False
259,HSIEH JAROV Seraphim,CAN,0.0,,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,3.0,False
260,ANUPONGKUNKIT Kantap...,THA,0.0,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,False
265,OSMANTOUSON Marua,HUN,18.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,True
272,CHAU Chak Hin Nicholas,HKG,25.0,R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,2.0,0.375,2.625,0.25,0.25,2.25,True
