,name,country,age,hand,BuenosAires(2019/03),Cali(2019/05),Paris(2019/05),Tokyo(2019/06),Dusseldorf(2019/06),Bamako(2019/06),Toronto(2019/06),Budapest(2019/07),SA_A,SA_B,SA_C,SA_D,SA_E,SA_F,SA_G,SA_H,SA_I,Berne(2019/11),Heidenheim(2020/01),Doha(2020/01),Vancouver(2020/02),Budapest(2020/03),total
125,ALLEGRE Paul,FRA,,,4,3,-0.5,,,,,,,,,,,,,,,,-1,1.5,2,3,13.5
126,CAMPOS ZARATE Andres F...,COL,,,0.5,0,0,,,,12,0.625,,,,,,,,,,,0.25,,,,13.375
127,SOMFAI Peter,HUN,,,,,8,,,,,,,,,,,,,,,2,0.25,,,3,13.25
128,PAOLINI Giacomo,ITA,22,R,1,0.75,0.25,,,,,,,,,,,0,,,,,8,,0,3,13
129,DIABATE Keletigui Julien,MLI,,,,0,0.25,,,12,,0.625,,,,,,,,,,0,,,,0,12.875
130,MAISONET Hector,PUR,,,0,6,,,,,6,0,,,,,,,,,,0.25,,0.375,0,0,12.625
131,CORDEIRO Joao,POR,,,,1.5,2,,6,,,2.5,,,,,,,,,,0.25,,,,,12.25
132,ALGADI Abubaker Reda,LBA,,,,,,,,12,,,,,,,,,,,,0,,,,,12
133,LUGO Grabiel,VEN,,,1,,0.25,,,,6,0.625,,,,,,,,,,0,1,1.5,0,1.5,11.875
134,NIGGELER Michele,SUI,28,R,2,1.5,-0.25,,0,,,5,,,,,,0,,,,-0.25,0,0.75,2,0.375,11.625
135,BRUEV Georgiy,RUS,,,2,,2,,3,,,,,,,,,,0,,,1,-0.25,3,0.5,-0.375,11.5
136,BUZZI Lorenzo,ITA,,,2,-0.75,1,,,,,,,,,,,0,,,,4,-0.25,3,-0.5,1.5,11.5
137,SOKOLOV Oleg,UZB,,,,,0.25,6,,,,5,,,,,,,,,,,,,,,11.25
138,HADZIC Alen,USA,28,R,2,-1.5,-0.25,,,,,,,,,,,2,,,,-0.25,2,3,2,-1.5,11
139,NG Ho Tin,HKG,,,,1.5,0,3,,,,5,,,,,,,,,,0.25,0.5,,0.25,0.375,10.875
140,BANYAI Zsombor,HUN,,,2,,2,,,,,,,,,,,,,,,2,-0.25,3,-0.5,1.5,10.5
141,SALM Juri,EST,,,,1.5,-0.25,,3,,,2.5,0,1,1,,,,,,,1,0.25,,,,10.25
142,RUBES Martin,CZE,,,2,0,2,,1.5,,,2.5,,,,,,1,,,,-0.25,0.5,0,0.5,-0.375,10
143,SAKAMOTO Keisuke,JPN,,,1,3,4,,,,,,,,,,,,,,,2,,,,,10
144,SZENYI Peter,HUN,33,R,,,0.25,,,,,,,,,,,,,,,1,8,,,0.375,9.625
145,ITO Inochi,JPN,,,-0.25,3,0.5,,,,,,,,,,,,,,,-0.25,1,0,2,3,9.5
146,SCHWANTES Athos,BRA,,,,3,0,,,,6,0,,,,,,,,,,,,,,0.375,9.375
147,RAMIREZ Yeisser,USA,33,R,,,,,,,,,,,,,,,,,,4,2,0.375,0,3,9.375
148,BRUNOLD Bruce,SUI,28,L,0.25,,,,,,,,,0,,,,0,,,,0,,6,2,0.75,9
149,LAI Clarence Ka Tsun,HKG,,,,,0,6,,,,1.25,,,,,,,,,0,0.25,0,,0,1.5,9
150,GONZALEZ Rodrigo,CHI,,,,,0,,,,6,,,,,,,,,,,,,,,3,9
151,BODOCZI Nikolaus,GER,,,,0.75,2,,3,,,0.625,,,,,,,,,,-0.25,0.25,0.75,0,1.5,8.875
152,PATTERSON Luis Enrique,CUB,,,0,,0.25,,,,6,2.5,,,,,,,,,,0,,,,,8.75
153,JOSHUA KOH I-Jie,MAS,,,,,0.25,6,,,,1.25,,,,,,,,,,,,0.75,,0.375,8.625
154,ENGLISH Alexander,AUS,,,,,0,6,,,,,,,,,,,,,,,1,1.5,,0,8.5
155,GUSEV Dmitriy,RUS,26,L,,,2,,,,,,,,,,,,0,,,1,-0.25,1.5,1,3,8.5
156,LAZAROTO Fabrizio,BRA,,,,0.75,0.25,,,,6,1.25,,,,,,,,,,,0.25,,,,8.5
157,AREDE Pedro,POR,,,,0.75,0.25,,6,,,1.25,,,,,,,,,0,,,,,,8.25
158,TURNAU Peeter,EST,,,,3,0.5,,,,,,0,,2,,,,,,,-0.25,-0.25,1.5,1,-0.375,8
159,TACCANI Alessandro,ARG,,,0,,0.25,,,,6,1.25,,,,,,0,,,,0.25,0,,0.25,,8
160,HERZBERG Fabian,GER,32,R,-0.25,1.5,-0.25,,,,,,,,,,,,,,,1,0.5,3,2,-0.375,8
161,METRAILLER Clement,SUI,,,-0.25,,0.25,,,,,,,,,,,0,,,,0,0.25,6,1,0.375,7.875
162,LIS Daniel,ISR,31,R,2,,1,,1.5,,,0.625,,,,,,,,,,0.5,0.25,,2,,7.875
163,KUROCHKIN Andrey,RUS,,,,,,,,,,,,2,,,,,0,,,4,1,0,,0.75,7.75
164,SUKHOV Pavel,RUS,32,R,-0.25,,0.5,,,,,1.25,,,,,,,0,,,-0.25,1,1.5,2,1.5,7.75
165,TULEN Rafael,NED,,,0.5,0,0.25,,3,,,0.625,0,,,,,,,,0,1,,0.375,2,0,7.75
166,LIU Yongchuang,CHN,,,,,,,,,,,,,,,,,,,,0.25,0.5,6,1,,7.75
167,TYMOSHENKO Ruslan,UKR,,,,,0.5,,,,,,,,,,,,,,,1,0.25,3,,3,7.75
168,KONGSTAD Conrad Seibaek,DEN,23,R,,,,,,,,,,,,,,,,,,,0.25,3,4,0.375,7.625
169,SVENSSON Jonathan,SWE,21,R,,,0.25,,,,,,2,0,0,,,,,,,0.25,2,,,3,7.5
170,DORATI AMEGLIO Arturo Is...,PAN,,,,0,0.5,,,,6,0,0,0,,,,,0,1,,,,,,0,7.5
171,POKORNY Richard,CZE,,,-0.5,1.5,-0.5,,,,,,,,3,0,0,,,,,-0.5,1,0.75,1,-0.375,7.25
172,SON Minseong,KOR,,,0.5,0.75,,,,,,,,,,,,,,,,,,6,,,7.25
173,LUBIENIECKI Wojciech,POL,20,R,,,,,,,,,,,,,,,,,,0.25,4,,0,3,7.25
174,WRIGHT John,CAN,,,1,0,0.25,,,,3,2.5,,,,,,,,,,0.25,0.25,0,0,,7.25
175,OJEDA BUITRAGO Daniel,CRC,,,,,,,,,6,,,,,,,,,1,,,,,,,7
176,PIZZO Paolo,ITA,,,4,3,,,,,,,,,,,,,,,,,,,,,7
177,GRUNHAUSER Richard,BRA,,,0.25,0.75,0,,,,6,,,,,,,,,,,,,,,,7
178,NOVOSJOLOV Nikolai,EST,,,2,3,2,,,,,,,,,,,,,,,,,,,,7
179,KUHN Georg,SUI,27,R,-0.5,1.5,-0.25,,,,,,,,,,,0,,,,1,2,1.5,1,-0.375,7
180,FARDZINOV Alan,RUS,,,2,,-0.25,,,,,,,,,,,,0,,,0.25,0.5,0,1,3,6.75
181,ESKOV Ruslan,EST,,,,,0.5,,3,,,1.25,,,1,0,0,,,,,0.25,0.25,,,0.375,6.625
182,BUHDEIMA Khaled,LBA,,,,,,,,6,,0.625,,,,,,,,,,0,0,,0,,6.625
183,FRENCH Dylan,CAN,23,R,0.25,0,0,,,,,,,,,,,,,4,,0,2,,0.25,,6.5
184,DABIJA Adrian,ROU,,,,,,,,,,0.625,3,,,,,,0,,0,0.25,1,0.75,,0.75,6.375
185,BIABIANY Mathias,FRA,25,L,,,0.5,,,,,,,,,,,,,,,1,4,0.375,0.5,,6.375
186,PETROV Roman,KGZ,,,,,0.25,3,,,,2.5,,,,,,,,,,,0.25,0,,0.375,6.375
187,ALEKSANDROV Roman,UZB,,,,,0.25,6,,,,,,0,,,,,,,,,,,,,6.25
188,LOPEZ POURTIER Nelson,FRA,,,0,,0.25,,,,,,,,,,,,,,,,,,,6,6.25
189,DORIGO Clement,FRA,,,0.5,1.5,4,,,,,,,,,,,,,,,0.25,,,,,6.25
190,GROVER Elliott,GBR,,,4,,0.25,,0,,,1.25,,,,,,0,,,,0.25,0,0,,0.375,6.125
191,SYCH Yan,UKR,24,R,2,,0,,,,,,,,,,,,,,,-0.25,1,0.375,2,0.75,6.125
192,ADAIKIN Dmitriy,KAZ,,,2,,1,,,,,,,2,,,,,,,,0.25,0,0.75,,,6
193,ABUJTELA Abdussalam,LBA,,,,,,,,6,,,,,,,,,,,,0,,,,,6
194,RAMI Aissam,MAR,,,0,0,0,,,6,,0,,,,,,,,,,0,0,,0,,6
195,ESMAEILI Mohammad,IRI,,,,,,6,,,,,,,,,,,,,,,,,,,6
196,QUIROS Jose,PAN,,,,0,,,,,6,,,,,,,,,,,,,,,,6
197,LEE Simon Renjie,SGP,,,,,,3,,,,0.625,,,,,,0,,,,0,0,0.75,,1.5,5.875
198,YU Lefan,CHN,,,-0.25,,-0.25,,,,,,,,,,,,,,,4,0.25,0.75,0.5,0.375,5.875
199,SERTAY Yerlik,KAZ,,,1,,0,,,,,,,0,,,,,,,,1,0,3,,0.75,5.75
200,ROD Max,POR,,,,,-0.25,,3,,,1.25,,,,,,,,,,0.25,0.25,0.375,0.25,0.375,5.75
201,SANCHEZ-LETHEM Paul Ja...,GBR,,,0.25,0.75,0,,3,,,,,,,,,,,,,1,0.25,0,0.5,0,5.75
202,GAVALDA Eugeni,ESP,,,0.5,,,,,,,,,,,,,,,,,0.5,0.25,,4,0.375,5.625
203,NUOTIO Tatu,FIN,,,,,0.25,,0,,,5,,,0,0,,,,,,,0.25,,,0,5.5
204,KOMATA Akira,JPN,,,-0.25,0.75,-0.5,,,,,,,,,,,,,,,0.5,0,1.5,2,0.75,5.5
205,TAURIAINEN Topias,FIN,,,,,,,3,,,0.625,,,0,1,,,,,,0.25,,,,0.375,5.25
206,SZILAGYI Adrian Ciprian,ROU,,,,,,,3,,,0.625,,,,,,,1,,,,0.25,,,0.375,5.25
207,PAAVOLAINEN Jaakko,FIN,,,,,0.25,,3,,,0.625,,,0,1,0,,,,,0.25,,,,,5.125
208,ALDAWOOD Jawad,KSA,,,,,0.25,3,,,,1.25,,,0,,0,,,,,0.25,0.25,,,,5
209,FOUGY Nathan,FRA,,,,,4,,,,,,,,,,,,,,,0.5,0.5,,,,5
210,BOUILLOT Hippolyte,FRA,,,4,0.75,0,,,,,,,,,,,,,,,0.25,,,,,5
211,SCHUMACHER Cooper,USA,,,2,0.75,,,,,,,,,,,,,,,,0.25,0.5,1.5,,,5
212,KNYSH Oleg,RUS,22,L,,,,,,,,,,,,,,,2,,,,2,0,0.5,0.375,4.875
213,UNTERHAUSER Samuel,GER,23,L,,,0.5,,,,,,,,,,,,0,,0,-0.25,0.5,0.375,2,1.5,4.875
214,PITTET Alexandre,SUI,,,1,3,0,,,,,,,,,,,0,,,,-0.25,0.25,0,0.25,0.375,4.875
215,CANDEIAS Ricardo,POR,,,0,0,0.25,,1.5,,,2.5,,,,,,,,,0,0.5,,,,,4.75
216,HATZ Nick,SUI,,,0.5,,-0.25,,,,,,,,,,,0,,,,0.25,0.5,0,0.5,3,4.75
217,MAKAROVAS Tomas,LTU,,,,,,,3,,,1.25,,,0,0,,,,,,,,,,0.375,4.625
218,NOLLNER Dylan,USA,,,1,0.75,2,,,,,,,,,,,,,,,0.5,-0.25,0.375,,,4.625
219,KNUDSEN Kenneth,DEN,,,-0.25,,-0.25,,0,,,,,,0,0,0,,,,2,0.25,1,0,0.5,0.75,4.5
220,BRINKMANN Marco,GER,,,1,-0.75,1,,,,,,,,,,,,0,,0,-0.25,1,0.75,0,0.75,4.5
221,FEROT Francois Xavier,BEL,,,0.5,,0.25,,1.5,,,,,,,,,0,,,0,2,0.25,0,0,0,4.5
222,RADFORD Kristian,AUS,,,,,,3,,,,1.25,,,,,,,,,,,0.25,0,,,4.5
223,BRZOZOWSKI Seweryn,POL,27,R,,,0,,,,,,,,,,,,,,,1,2,,,1.5,4.5
224,ROA Hernando,COL,,,1,0.75,0,,,,0,0.625,,,,,,,,,,,0.5,,,1.5,4.375
225,BRAUN Rico,GER,,,,1.5,-0.25,,,,,,,,,,,,,,1,0.5,-0.25,,0.5,0.75,4.25
226,PHILIPPE Arthur,FRA,,,,1.5,1,,,,,,,,,,,,,,,,,0.75,1,,4.25
227,THOMPSON Soren,USA,39,R,,,,,,,,,,,,,,,,,,,2,0.75,1,0.375,4.125
228,HUSSON Geoffroy,BEL,,,,,0.25,,3,,,,,,0,,,,,,,0.25,0.25,0,,0.375,4.125
229,TAN Weixuan,SGP,,,,,,3,,,,0,,,,,,1,,,,,,,,,4
230,KIM Myeongki,KOR,,,,,4,,,,,,,,,,,,,,,,,,,,4
231,HAYES Isaac,AUS,,,,,,3,,,,0.625,,,,,,,,,,,0.25,0,,0,3.875
232,BRATTON Benjamin,USA,,,,0.75,-0.25,,,,,,,,,,,,,,,1,,0.75,1,0.375,3.875
233,ISLAS FLYGARE Linus,SWE,,,,0.75,0.25,,,,,,,,2,0,0,,,,,0.25,0.5,,,,3.75
234,CHALOEMCHANEN Chinn...,THA,,,,,0.25,3,,,,0,,,,,,,,,,0.25,0.25,,,,3.75
235,BAUDUNOV Khasan,UZB,,,,,,,,,,0,,3,,,0,,,,,,0.25,,,0.375,3.625
236,ALFOUDARI Hassan,KUW,,,,,,3,,,,0.625,,,,0,,,,,,,,0,,,3.625
237,VORONIN Vyacheslav,TKM,,,,,,3,,,,0.625,,,,,,,,,,,,,,,3.625
238,DAGANI Elia,SUI,,,0.25,1.5,,,,,,,,,,,,0,,,,0,0.25,1.5,0,,3.5
239,GUSMAN Agustin Adolfo,ARG,,,0.25,,,,,,3,,,,,,,,,,,0.25,,,0,,3.5
240,CROOK Lachlan,AUS,,,,,0,3,,,,,,,,,,,,,,,0.5,0,,,3.5
241,POSTMA Randy,NED,,,0.25,,0.25,,3,,,,,,,,,,,,,,,,,,3.5
242,DILIBERTO Luca,ITA,,,,,,,,,,,,,,,,,,,,2,,,,1.5,3.5
243,MURAKAMI Satoki,JPN,,,1,,-0.25,,,,,,,,,,,,,,,0.25,0.5,1.5,0.25,0,3.5
244,GALPER Stanislav,ISR,,,,,1,,,,,,,,,,,,,,,1,0.25,,0.5,0.75,3.5
245,ALIYEV Kanan,AZE,,,,,0.25,,1.5,,,0.625,,0,,,,,0,,,,0.25,0.375,,0.375,3.375
246,JOHNSTON LEYER Bradley,CRC,,,0.25,0,,,,,3,,,,,,,,,,,,,,,,3.25
247,KAVVADIAS Savvas,GRE,,,,,0.5,,1.5,,,0.625,,,,,,0,,,,0.25,,,,0.375,3.25
248,CUPR Michal,CZE,,,1,0.75,,,,,,,,,,,,,,,,,,,,1.5,3.25
249,TARANENKO Yuriy,UKR,,,0.25,,2,,,,,,,,,,,,,,,0.5,0,0,,0.375,3.125
250,YOO Justin,USA,,,2,0.375,0.25,,,,,,,,,,,,,,,0.25,0.25,0,0,0,3.125
251,KWON Jaeseon,KOR,,,,,,,,,,,,,,,,,,,,0.5,0.25,1.5,0.5,0.375,3.125
252,BIELEC Maciej,POL,,,,0.75,-0.25,,,,,,,,,,1,,,,,0.5,-0.25,0.375,0,0.375,3
253,CHAKAROV Ilia,BUL,,,,,,,,,,0.625,1,,,,,,0,,,,1,,,0.375,3
254,GROSSE Arthur,NOR,,,,,,,3,,,,,,0,0,0,,,,,,,,,,3
255,WENGLARCZYK Jan,POL,,,,,,,,,,,,,,,,,,,0,2,1,,,0,3
256,PAULOUSKI Dzianis,BLR,24,L,,,,,,,,,,,,,,,0,,,1,2,,,0,3
257,AL DAWOOD Zakaria,KSA,,,,,0,3,,,,,,,0,0,0,,,,,,0,,,,3
258,ABED Faisal,KSA,,,,,0,3,,,,0,,,0,,0,,,,,,,,,,3
259,HSIEH JAROV Seraphim,CAN,,,,0.75,0.25,,,,0,0,,,,,,,,,,,,,2,,3
260,ANUPONGKUNKIT Kantap...,THA,,,,,0,3,,,,0,,,,,,,,,,0,,,,,3
265,OSMANTOUSON Marua,HUN,18,R,,,,,,,,,,,,,,,,,,,,,,3,3
272,CHAU Chak Hin Nicholas,HKG,25,R,,,,,,,,,,,,,,,0,,,0.25,,,2,0.375,2.625
